"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","isInCluster","inCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","informationWithheld","dataGeneralizations","verbatimSRS","county","municipality","datasetName","gbifID","language","collectionCode","occurrenceID","locationAccordingTo","catalogNumber","institutionCode","occurrenceRemarks","accessRights","name","infraspecificEpithet","dateIdentified","references","http...unknown.org.nick","verbatimEventDate","verbatimLocality","taxonID","recordedBy","eventTime","identifiedBy","http...unknown.org.captive","identificationID","sex","lifeStage","eventID","footprintWKT","identificationVerificationStatus","originalNameUsage","datasetID","nameAccordingTo","locationRemarks","associatedReferences","individualCount","vernacularName","locality","higherClassification","institutionKey","identifiedByIDs.type","identifiedByIDs.value","identificationRemarks","elevation","elevationAccuracy"
"1","3047405384","Ursus arctos Linnaeus, 1758",42.39,1,"gass84","f3278405-0943-41a0-9f04-3a7733ec344d","ada19a05-4216-44c7-aa4f-6e7177bcb0ac","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2021-11-23T13:30:07.954+00:00","2022-01-29T22:48:39.563+00:00",205,"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2433433,1,44,359,732,9681,2433406,2433433,2433433,"Ursus arctos Linnaeus, 1758","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SPECIES","ACCEPTED","LC",7071,"EUROPE","Catalonia",2020,6,21,"2020-06-21T00:00:00","2020-06-20T22:00:00.000+00:00","2022-01-29T22:48:39.563+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","ICO","ICO:ornitho.cat:6634912","Exact location not provided because conservation concern. Identity of observers is whithheld. Only one record provided by UTM 10x10 km between 2017-2020. No information about sex, age and number of individuals provided.","Coordinates generalizated at central point of UTM 10x10 km","ETSR89","Pallars Jussà","la Torre de Cabdella","Data collected on citizen science web portal www.ornitho.cat","3047405384","en","ICO-ornitho-cat","ICO:ornitho.cat:6634912","Getty thesaurus of Geographic names","6634912","ICO","If you will query the original data you must register in www.ornitho .cat and report at least one observation made in Catalonia. Then you can get the observation using the URL provided in associated media.","CC0","Ursus arctos Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2826161624","Ursus arctos arctos",42.975049,-6.501307,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-19T21:20:30.126+00:00","2022-02-20T00:44:16.450+00:00",293,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",7193950,1,44,359,732,9681,2433406,2433433,7193950,"Ursus arctos arctos","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SUBSPECIES","ACCEPTED",NA,27568,NA,"Castilla y León",2020,7,6,"2020-07-06T09:49:48","2021-10-27T12:46:54.000+00:00","2022-02-20T00:44:16.450+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","Cesar Pollo","52261273","Coordinate uncertainty increased to 27568m to protect threatened taxon",NA,NA,NA,NA,"iNaturalist research-grade observations","2826161624",NA,"Observations","https://www.inaturalist.org/observations/52261273",NA,"52261273","iNaturalist",NA,NA,"Ursus arctos arctos","arctos","2020-12-10T19:40:16","https://www.inaturalist.org/observations/52261273","cesarpollo5","2020-07-06 11:49:48 AM GMT+02:00","León, ES-CL, ES","147154","Cesar Pollo","07:49:48Z","Cesar Pollo","wild","145645869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","3047055837","Ursus arctos Linnaeus, 1758",42.66,0.75,"gass84","f3278405-0943-41a0-9f04-3a7733ec344d","ada19a05-4216-44c7-aa4f-6e7177bcb0ac","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2021-11-23T13:30:07.954+00:00","2022-01-29T22:48:23.190+00:00",205,"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2433433,1,44,359,732,9681,2433406,2433433,2433433,"Ursus arctos Linnaeus, 1758","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SPECIES","ACCEPTED","LC",7071,"EUROPE","Catalonia",2020,7,9,"2020-07-09T13:36:18","2020-07-09T11:36:18.000+00:00","2022-01-29T22:48:23.190+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","ICO","ICO:ornitho.cat:6588212","Exact location not provided because conservation concern. Identity of observers is whithheld. Only one record provided by UTM 10x10 km between 2017-2020. No information about sex, age and number of individuals provided.","Coordinates generalizated at central point of UTM 10x10 km","ETSR89","Val d'Aran","Vielha e Mijaran","Data collected on citizen science web portal www.ornitho.cat","3047055837","en","ICO-ornitho-cat","ICO:ornitho.cat:6588212","Getty thesaurus of Geographic names","6588212","ICO","If you will query the original data you must register in www.ornitho .cat and report at least one observation made in Catalonia. Then you can get the observation using the URL provided in associated media.","CC0","Ursus arctos Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","3047392289","Ursus arctos Linnaeus, 1758",42.58,1.24,"gass84","f3278405-0943-41a0-9f04-3a7733ec344d","ada19a05-4216-44c7-aa4f-6e7177bcb0ac","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2021-11-23T13:30:07.954+00:00","2022-01-29T22:48:39.446+00:00",205,"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2433433,1,44,359,732,9681,2433406,2433433,2433433,"Ursus arctos Linnaeus, 1758","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SPECIES","ACCEPTED","LC",7071,"EUROPE","Catalonia",2020,7,11,"2020-07-11T00:00:00","2020-07-10T22:00:00.000+00:00","2022-01-29T22:48:39.446+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","ICO","ICO:ornitho.cat:6639857","Exact location not provided because conservation concern. Identity of observers is whithheld. Only one record provided by UTM 10x10 km between 2017-2020. No information about sex, age and number of individuals provided.","Coordinates generalizated at central point of UTM 10x10 km","ETSR89","Pallars Sobirà","la Guingueta d'Àneu","Data collected on citizen science web portal www.ornitho.cat","3047392289","en","ICO-ornitho-cat","ICO:ornitho.cat:6639857","Getty thesaurus of Geographic names","6639857","ICO","If you will query the original data you must register in www.ornitho .cat and report at least one observation made in Catalonia. Then you can get the observation using the URL provided in associated media.","CC0","Ursus arctos Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","3113374411","Ursus arctos arctos",43.195682,-4.831738,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-19T21:20:30.126+00:00","2022-02-20T01:05:01.819+00:00",293,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",7193950,1,44,359,732,9681,2433406,2433433,7193950,"Ursus arctos arctos","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SUBSPECIES","ACCEPTED",NA,27537,NA,"Castilla y León",2020,7,28,"2020-07-28T16:42:00","2021-12-13T12:34:25.000+00:00","2022-02-20T01:05:01.819+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","Ángel Argüelles","78259192","Coordinate uncertainty increased to 27537m at the request of the observer",NA,NA,NA,NA,"iNaturalist research-grade observations","3113374411",NA,"Observations","https://www.inaturalist.org/observations/78259192",NA,"78259192","iNaturalist",NA,NA,"Ursus arctos arctos","arctos","2021-07-25T11:26:45","https://www.inaturalist.org/observations/78259192","angelarg293","2020/07/28 4:42 PM UTC","Castilla y León, ES","147154","Ángel Argüelles","16:42:00Z","Goro Saber Animal","wild","193950441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2850760852","Ursus arctos arctos",43.130561,-6.34779,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-19T21:20:30.126+00:00","2022-02-20T00:24:31.321+00:00",293,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",7193950,1,44,359,732,9681,2433406,2433433,7193950,"Ursus arctos arctos","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SUBSPECIES","ACCEPTED",NA,27537,NA,"Principado de Asturias",2020,8,14,"2020-08-14T13:49:00","2021-07-25T11:33:41.000+00:00","2022-02-20T00:24:31.321+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","jorgejuanrueda","56522647","Coordinate uncertainty increased to 27537m to protect threatened taxon",NA,NA,NA,NA,"iNaturalist research-grade observations","2850760852",NA,"Observations","https://www.inaturalist.org/observations/56522647",NA,"56522647","iNaturalist",NA,NA,"Ursus arctos arctos","arctos","2020-08-15T15:40:49","https://www.inaturalist.org/observations/56522647","jorgejuanrueda","2020/08/14 1:49 PM CEST","Principado de Asturias, ES-AS-AS, ES","147154","jorgejuanrueda","11:49:00Z","jorgejuanrueda","wild","123959027","MALE","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2850843929","Ursus arctos arctos",43.06944,-6.306263,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-19T21:20:30.126+00:00","2022-02-20T00:24:26.431+00:00",293,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",7193950,1,44,359,732,9681,2433406,2433433,7193950,"Ursus arctos arctos","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SUBSPECIES","ACCEPTED",NA,27537,NA,"Principado de Asturias",2020,8,14,"2020-08-14T05:02:00","2021-07-25T11:35:37.000+00:00","2022-02-20T00:24:26.431+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","jorgejuanrueda","56522649","Coordinate uncertainty increased to 27537m to protect threatened taxon",NA,NA,NA,NA,"iNaturalist research-grade observations","2850843929",NA,"Observations","https://www.inaturalist.org/observations/56522649",NA,"56522649","iNaturalist",NA,NA,"Ursus arctos arctos","arctos","2020-08-15T15:40:50","https://www.inaturalist.org/observations/56522649","jorgejuanrueda","2020/08/14 5:02 AM CEST","Principado de Asturias, ES-AS-AS, ES","147154","jorgejuanrueda","03:02:00Z","jorgejuanrueda","wild","123959029","FEMALE","Juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","3047114823","Ursus arctos Linnaeus, 1758",42.49,1.24,"gass84","f3278405-0943-41a0-9f04-3a7733ec344d","ada19a05-4216-44c7-aa4f-6e7177bcb0ac","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2021-11-23T13:30:07.954+00:00","2022-01-29T22:48:24.444+00:00",205,"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2433433,1,44,359,732,9681,2433406,2433433,2433433,"Ursus arctos Linnaeus, 1758","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SPECIES","ACCEPTED","LC",7071,"EUROPE","Catalonia",2020,8,27,"2020-08-27T00:00:00","2020-08-26T22:00:00.000+00:00","2022-01-29T22:48:24.444+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","ICO","ICO:ornitho.cat:6847508","Exact location not provided because conservation concern. Identity of observers is whithheld. Only one record provided by UTM 10x10 km between 2017-2020. No information about sex, age and number of individuals provided.","Coordinates generalizated at central point of UTM 10x10 km","ETSR89","Pallars Sobirà","Alins","Data collected on citizen science web portal www.ornitho.cat","3047114823","en","ICO-ornitho-cat","ICO:ornitho.cat:6847508","Getty thesaurus of Geographic names","6847508","ICO","If you will query the original data you must register in www.ornitho .cat and report at least one observation made in Catalonia. Then you can get the observation using the URL provided in associated media.","CC0","Ursus arctos Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","3047425911","Ursus arctos Linnaeus, 1758",42.67,1.24,"gass84","f3278405-0943-41a0-9f04-3a7733ec344d","ada19a05-4216-44c7-aa4f-6e7177bcb0ac","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","ES","DWC_ARCHIVE","2021-11-23T13:30:07.954+00:00","2022-01-29T22:48:41.378+00:00",205,"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2433433,1,44,359,732,9681,2433406,2433433,2433433,"Ursus arctos Linnaeus, 1758","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SPECIES","ACCEPTED","LC",7071,"EUROPE","Catalonia",2020,8,28,"2020-08-28T00:00:00","2020-08-27T22:00:00.000+00:00","2022-01-29T22:48:41.378+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","ES","none","none","Spain","ICO","ICO:ornitho.cat:6847524","Exact location not provided because conservation concern. Identity of observers is whithheld. Only one record provided by UTM 10x10 km between 2017-2020. No information about sex, age and number of individuals provided.","Coordinates generalizated at central point of UTM 10x10 km","ETSR89","Pallars Sobirà","la Guingueta d'Àneu","Data collected on citizen science web portal www.ornitho.cat","3047425911","en","ICO-ornitho-cat","ICO:ornitho.cat:6847524","Getty thesaurus of Geographic names","6847524","ICO","If you will query the original data you must register in www.ornitho .cat and report at least one observation made in Catalonia. Then you can get the observation using the URL provided in associated media.","CC0","Ursus arctos Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2580881604","Ursus arctos Linnaeus, 1758",42.82374,-0.54835,"gass84,fpwktinv","c6d289cc-62ee-46e1-9367-515092eed533","1928bdf0-f5d2-11dc-8c12-b8a03c50a862","07ea29ef-e386-4278-ae0f-095778a1b061","FR","DWC_ARCHIVE","2021-11-22T17:47:46.377+00:00","2022-01-29T21:51:30.702+00:00",82,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2433433,1,44,359,732,9681,2433406,2433433,2433433,"Ursus arctos Linnaeus, 1758","Animalia","Chordata","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus","arctos","SPECIES","ACCEPTED","LC",100,NA,NA,2018,1,22,"2018-01-22T00:00:00","2020-01-27T00:00:00.000+00:00","2022-01-29T21:51:30.702+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,FALSE,"WGS84","Mammalia","FR","none","none","France",NA,"9894f1d8-f108-11e9-a0dc-005056010096",NA,NA,NA,"64","64542|Urdos",NA,"2580881604",NA,NA,"9894f1d8-f108-11e9-a0dc-005056010096",NA,NA,"PNP",NA,NA,"Ursus arctos Linnaeus, 1758",NA,NA,NA,NA,NA,NA,"60826","CAUSSIMONT gérard &amp, Bordeneuve Jocelin (PNP)",NA,"Non renseigné (Non renseigné)",NA,NA,NA,NA,"9894f1d8-f108-11e9-a0dc-005056010096","POINT (-0.5483455 42.82373699)","Probable, high degree of reliability","Ursus arctos Linnaeus, 1758","630EA612-B3CB-42E2-E053-2614A8C0CF63","TAXREF v12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
