x,y,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,f_artifical,f_bare,f_cropland,f_highveg,f_lowveg,dem,tcb.sos,tcg.sos,tcw.sos,tcb.pos,tcg.pos,tcw.pos,tcb.eos,tcg.eos,tcw.eos,ursus_arctos
4955000,5395000,11.703470230102539,34.63406753540039,166.8075714111328,5941.2177734375,122.73816680908203,-84.86750793457031,207.61830139160156,34.580440521240234,19.44795036315918,99.02838897705078,-63.62776184082031,631.93060302734375,71.69084930419922,33.170345306396484,21.82649803161621,204.5205078125,107.49211120605469,143.49842834472656,161.2334442138672,46,244,0,40,460,145,12661,-1714,3836,2888,758,-1162,2736,705,-1242,0
5025000,5395000,3.9814815521240234,40.829627990722656,176.06295776367188,6548.67041015625,126.0740737915039,-105.5999984741211,231.6851806640625,29.88518524169922,15.840741157531738,98.14814758300781,-81.01481628417969,649.6851806640625,74.8370361328125,33.2185173034668,22.36296272277832,218.19259643554688,102.4111099243164,183.40740966796875,163.89630126953125,31,457,0,11,289,175,12057,-1696,3623,2958,202,-1366,2536,156,-1055,0
4985000,5385000,2.645914316177368,39.937744140625,173.77432250976562,6509.6884765625,125.15174865722656,-104.937744140625,230.062255859375,27.217899322509766,13.68482494354248,96.69649505615234,-80.90272521972656,605.94549560546875,67.61478424072266,32.93385314941406,20.25680923461914,200.15174865722656,102.02723693847656,155.10894775390625,148.062255859375,15,206,0,16,367,172,9568,-1405,2960,2238,128,-755,3182,202,-968,0
4965000,5375000,1.569131851196289,41.27974319458008,174.9935760498047,6650.42138671875,127.95819854736328,-107.9131851196289,235.82957458496094,25.729904174804688,13.675241470336914,97.56269836425781,-83.398712158203125,562.28619384765625,62.69453430175781,30.270095825195312,19.92926025390625,181.52410888671875,95.72347259521484,149.5948486328125,129.1286163330078,9,438,0,17,388,274,14576,-2252,4923,3056,412,-1587,2452,407,-1332,0
5045000,5375000,-7.539682388305664,47.761905670166016,184.6888885498047,7205.111328125,128.3174591064453,-130.36825561523438,258.6730041503906,63.38730239868164,8.492063522338867,94.33650970458984,-101.8920669555664,599.84759521484375,68.18730163574219,31.793651580810547,23.669841766357422,197.8253936767578,97.003173828125,192.05079650878906,139.92063903808594,11,476,0,18,471,290,19143,-2608,5941,3483,635,-1665,6529,-68,431,0
4865000,5365000,14.050955772399902,33.751590728759766,168.73886108398438,5702.01904296875,122.66242218017578,-77.3853530883789,200.04139709472656,34.07961654663086,24.012739181518555,99.05095672607422,-56.72611618041992,654.8153076171875,75.96178436279297,38.09235763549805,20.87898063659668,213.6051025390625,116.97452545166016,161.5350341796875,174.26113891601562,5,405,0,14,388,205,13379,-2083,3853,2769,689,-1499,2634,577,-1483,0
5095000,5365000,9.4357147216796875,33.71428680419922,158.12142944335938,6171.94287109375,121.56428527832031,-91.6392822265625,213.18214416503906,74.93214416503906,18.035715103149414,99.36785888671875,-70.83214569091797,566.585693359375,60.03928756713867,30.33571434020996,18.93214225769043,171.94642639160156,95.03571319580078,169.52499389648438,142.278564453125,5,10,0,10,960,148,17254,-2532,5531,3315,1520,-1457,3436,1124,-776,1
4885000,5355000,10.659638404846191,38.367469787597656,173.93675231933594,6230.1748046875,130.79518127441406,-89.60542297363281,220.3885498046875,31.801204681396484,7.518072128295898,102.30120849609375,-67.2981948852539,559.09033203125,63.88554382324219,31.873493194580078,20.367469787597656,184.9759063720703,98.60843658447266,162.7740936279297,134.44879150390625,0,35,0,22,851,235,16761,-2496,5180,2831,990,-1332,2730,961,-1170,0
4865000,5345000,11.126153945922852,38.35384750366211,174.85231018066406,6191.8125,130.9261474609375,-88.38153839111328,219.2923126220703,28.34153938293457,24.483076095581055,102.36307525634766,-66.03076934814453,706.1754150390625,82.77538299560547,38.87076950073242,22.913846969604492,234.4861602783203,121.08307647705078,172.16307067871094,186.4769287109375,3,489,0,18,342,247,12910,-2127,4023,2510,274,-1373,2088,278,-1207,0
4995000,5345000,3.0933332443237305,51.43333435058594,183.9166717529297,7763.83349609375,152.9600067138672,-126.79666900634766,279.7533264160156,103.08999633789062,6.976666450500488,112.55000305175781,-97.160003662109375,475.7033386230469,54.119998931884766,24.75666618347168,25.676666259765625,160.1999969482422,75.573333740234375,159.86666870117188,101.71666717529297,2,7,0,202,574,137,13754,-2010,4318,2389,1184,-854,2082,767,-633,1
5015000,5345000,-5.50649356842041,52.78571319580078,185.7662353515625,7863.98388671875,146.05194091796875,-137.83766174316406,283.8701171875,81.074676513671875,0.8051947951316833,104.85064697265625,-107.57791900634766,520.93182373046875,59.15909194946289,26.87986946105957,26.139610290527344,176.18505859375,82.525970458984375,174.40908813476562,111.43506622314453,1,7,0,225,764,247,14361,-2201,4531,3191,1551,-1192,2943,923,-898,1
4835000,5335000,17.438161849975586,34.92932891845703,168.93992614746094,5885.13427734375,130.3992919921875,-76.33922576904297,206.75265502929688,37.09540557861328,25.049470901489258,104.98233032226562,-55.44169616699219,755.1943359375,86.2544174194336,42.798587799072266,19.38515853881836,242.0424041748047,137.70318603515625,175.90106201171875,195.88339233398438,8,350,0,25,381,158,9945,-1417,2766,2394,523,-1307,2122,465,-1138,0
4925000,5335000,-7.304347991943359,46.70186233520508,180.6645965576172,7193.36962890625,133.444091796875,-124.87577819824219,258.34161376953125,42.05279541015625,7.282608509063721,96.04969024658203,-98.276397705078125,568.34161376953125,63.7049674987793,30.80434799194336,22.55590057373047,182.78260803222656,95.40061950683594,178.85714721679688,128.68943786621094,0,122,0,0,858,432,17832,-2699,6155,3694,454,-2116,3259,568,-1744,0
5045000,5335000,-4.50649356842041,55.21428680419922,188.30519104003906,8086.4384765625,151.4837646484375,-141.33766174316406,292.8279113769531,108.2337646484375,-10.438311576843262,108.34091186523438,-110.13311767578125,533.82464599609375,64.224029541015625,27.327922821044922,28.87013053894043,189.66558837890625,83.98052215576172,189.66233825683594,109.93830871582031,0,11,0,14,948,223,18004,-2672,6110,3069,1428,-1264,3106,1301,-1034,1
5005000,5325000,1.8896104097366333,54.798702239990234,185.80844116210938,8171.8310546875,160.9383087158203,-134.47727966308594,295.38311767578125,116.35064697265625,-5.623376846313477,116.4935073852539,-103.73701477050781,444.5746765136719,55.04545593261719,22.350648880004883,29.659090042114258,161.09091186523438,68.00325012207031,155.55519104003906,91.73052215576172,4,14,2,439,478,120,14379,-2172,4779,3144,1746,-1072,2576,1114,-1020,1
5025000,5325000,0.4913494884967804,55.61937713623047,186.95848083496094,8237.09375,160.43252563476562,-137.5294189453125,298.0103759765625,115.45674896240234,7.7612457275390625,115.57439422607422,-106.44290924072266,505.3771667480469,59.633216857910156,26.03460121154785,27.442907333374023,177.21107482910156,79.16609191894531,167.93080139160156,108.63321685791016,1,0,0,98,791,117,13792,-2003,4411,2854,1455,-915,2469,1042,-879,1
4845000,5315000,14.167223930358887,40.301002502441406,175.14381408691406,6489.38134765625,140.59197998046875,-89.49163818359375,230.09030151367188,34.40802764892578,27.725751876831055,109.40133666992188,-66.66889953613281,693.58197021484375,79.54180908203125,39.11036682128906,20.076923370361328,224.66555786132812,122.7324447631836,171.55853271484375,176.95986938476562,2,26,0,99,616,166,10376,-1748,3286,2455,953,-1005,2198,838,-922,0
4875000,5315000,5.982142925262451,45.27083206176758,180.7142791748047,6989.83935546875,143.5863037109375,-106.88690185546875,250.47024536132812,27.339284896850586,-3.690476179122925,107.30654907226562,-81.58928680419922,566.09521484375,65.84821319580078,32.217262268066406,22.9613094329834,188.2142791748047,97.27678680419922,167.64285278320312,133.9107208251953,0,0,0,69,899,271,17775,-2981,5991,3125,1394,-1424,2877,1145,-1247,0
5005000,5305000,1.2207791805267334,56.10389709472656,185.49026489257812,8383.9775390625,165.46104431152344,-137.60064697265625,303.0259704589844,118.37986755371094,-31.467533111572266,119.50325012207031,-106.86038970947266,420.6363525390625,56.4837646484375,20.925325393676758,33.243507385253906,162.64610290527344,63.68506622314453,152.4707794189453,80.558441162109375,1,5,2,306,620,126,15907,-2259,5013,2979,1536,-1072,2685,938,-924,1
5075000,5295000,0.9784172773361206,57.661869049072266,188.58633422851562,8419.4384765625,165.13308715820312,-140.12950134277344,305.3057556152344,117.85971069335938,-30.140287399291992,118.54316711425781,-109.08992767333984,455.83453369140625,62.79496383666992,21.38848876953125,36.02518081665039,186.2589874267578,65.251800537109375,168.46043395996094,86.29496765136719,0,7,0,71,633,100,12954,-1998,4351,2150,712,-1013,2193,556,-1002,1
5105000,5295000,5.026315689086914,49.018798828125,178.5451202392578,7690.46630859375,152.42857360839844,-122.13909912109375,274.49249267578125,113.27067565917969,-20.932331085205078,113.2781982421875,-95.661651611328125,528.38720703125,64.00752258300781,26.5,29.278196334838867,190.8947296142578,80.32331085205078,190.8947296142578,113.12406158447266,5,19,0,253,401,109,10561,-1556,3471,2151,1062,-817,2158,761,-728,1
